,0
0,@Aimee9834 I was wondering if it is worth going to see in the movie theater. Florence Pugh is so good in her roles; I'm not sure about Harry Styles bc I haven't seen him in an acting role. I've heard that the script was modified in a way that made the movie's ending make less sense. 🤷‍♀️
1,RT @JuneLaney: Are you a practicing school psychologist who spends at least 10% of your time engaged in consultation in schools? Please tak…
2,"RT @sarabmei: Hi friends! As grad app season (and sweather weather!) is upon us again, I just wanted to acknowledge the difficulties in thi…"
3,"@DrMarinaHarris Recently, I've seen ppl asking about personal statements &amp; disclosure of their lived experiences (w/#mentalhealth conditions). Will disclosure be a ""kiss of death"" on an application due to stigma/discrimination? A post on LE among those in the mental health fields could be great!"
4,RT @AdultingADHD: Never thought me talking into the ether about adulting with ADHD online would’ve led to me speaking at conferences and to…
5,"If there are #SchoolPsychology grad school application resources I can link to my new blog post, please let me know! #gradschool #schoolpsych 

Applying to School Psych Master's/Specialist Programs? https://t.co/1Q0InCV7mN"
6,"@AllanGCooper Many ""mental health"" conditions also have physical effects (e.g., somatic symptoms). I think #bipolar can be targeted holistically from both #mentalhealth (e.g., psychoeducation; therapy, like learning coping mechanisms) *and* physical health angles (sleep hygiene; nutrition)."
7,@SchoolPsychLife @KristenDHopkins @BlackSELHub Congratulations!!!
8,"RT @JSchleiderPhD: 🤯 Our lab is in @WSJ!!

Ft words from me, work by our team (incl a preprint led by @jennaysung!) &amp; research from colleag…"
9,@DystOptimist The color pencils I was using are NOT ones I can smudge/blend... which I found out too late. Lol.
10,@LA_NativeChica Thank you! I was struggling because I realized that the colors don't smoothly blend/smear like the pencil (so the skin was becoming a hot mess and I couldn't undo it)... Do you know of colored pencils that blend/smear nicely like charcoal/pencil? Is that a thing?
11,I tried to add color to the drawing and I think I made it worse. 😂 https://t.co/NdHijATdrw
12,@LA_NativeChica I think it's great for getting the proportions right!
13,"RT @SylviaHerbozo: I’ll be offering a free CV workshop for grad students and post docs next week.

Monday, October 3 from 5:30-6:30 pm CST…"
14,Is #drawing on a grid cheating? 😂 https://t.co/VS6rRmxcSW
15,"RT @bellabee13: As a therapist, I’m never going to tell someone that anxiety/worrying doesn’t help &amp; they should just stop worrying. For on…"
16,I looked up freelance content creation rates and some of those are really sad. $8/hr for personalized designs and content work? That makes no sense. Do people realize how long it actually takes to make social media content/post designs??
17,"RT @MentalHealthAm: Last year, @thestallion opened up about the #MentalHealth challenges she faced after losing her parents.

Now, she’s us…"
18,"RT @ereinbergs: Just a reminder that every time you list a job about school mental health requiring a clinical psych degree, an angel loses…"
19,"RT @miller7: While several organizations have acknowledged and supported #mentalhealth initiatives, the @Colts are among the first franchis…"
20,"RT @brij_williams: If you're applying to #APPIC internships this year, you're likely in the thick of pulling the application together. Chec…"
21,"RT @chris_barry_wsu: Psych folks: if you or one of your students is applying to clinical psych PhD programs, check out this event to be hos…"
22,"RT @JSchleiderPhD: NEW LAB PREPRINT!

We partnered w @utteenhealthSA &amp; the City of San Antonio Metropolitan Health District to culturally-a…"
23,"I tried to piece together some advice for those interested in #SchoolPsychology master's/specialist level programs (blog post here). Hopefully, this is helpful to someone out there! ❤️ #gradschool

Applying to School Psych Master's/Specialist Programs? https://t.co/1Q0InDdgAV"
24,RT @WillWork4Tenure: @julie_cristello Here is the link to my Google drive folder with all of my graduate school resources: https://t.co/hZo…
25,"RT @julie_cristello: I am still looking for non-clinical students (e.g., school, developmental, I/O, legal, PsyD, Counseling) to share exam…"
26,"RT @julie_cristello: With psych grad school application deadlines approaching, I wanted to share a Google Drive with a number of resources…"
27,"RT @Arielle_C_Smith: 📢 current/former post-baccs!! I’m giving a presentation to undergrad RAs about post-bacc positions (what they are, how…"
28,"@lichen_dong Thanks for the suggestion! That's a good one.

As an aspiring school psych, I'm wondering about school-based supports/practices/approaches for these students. Like... MATCH-ADTC but with modules for bipolar disorder, maybe?"
29,"It is great to see sections on #depression treatment approaches, but why is #bipolardisorder overlooked? I'd love to see content on treatment approaches for pediatric &amp; adolescent #bipolar disorder!"
30,"Why does my ""Evidence-Based Psychotherapies for Children and Adolescents"" textbook not have a chapter on #BipolarDisorder? 33 chapters (600+ pages) of content and not a single mention of #bipolardisorder? 👀"
31,RT @sarahevictor: Interested in the Texas Tech Clinical Psychology PhD Program? Join us for a virtual open house! See attached flyer for de…
32,RT @PhelpsChavez: I’m accepting applications for a doctoral student for the 23-24 academic year. If you know anyone interested in social ju…
33,RT @sw4618: 1/x **Resume/CV Advice for Psych** I have been reviewing a lot lately for various reasons. here are some tips that may help. Ju…
34,"RT @nasponline: As Hurricane Ian continues moving onshore, we are sending our thoughts to those in the storm's path. Here are some brief ti…"
35,RT @JLMackelprang: CLOSING FRIDAY SEPT 30TH! We are trying to learn more about #psychologists in #Australia who have lived experience of #N…
36,"RT @Cassie_Boness: Really great commentary by @AndrewDevendorf that uses a personal narrative to discuss how self-relevant research, or hav…"
37,"RT @New2Neuropsych: 💰 Scholarship opportunity! 💰

Are you applying to Clinical Psych PhD/PsyD programs this cycle ('22-'23)? 

@TheAACN Stu…"
38,RT @PsychinOut: Most workshops aimed to increase the recruitment retention of marginalized students and trainees in academia focus on concr…
39,RT @erinkaseda: See below for a scholarship opportunity to be awarded $500 to offset the cost of applying to graduate school! @PsychinOut @…
40,RT @nyasp: NYASP is proud to announce our NEW Equity Diversity Inclusion (EDI) Scholarship as a way to support the work of and recognize di…
41,RT @BranJJohnson1: Black youth suicide data for Black Youth Suicide Prevention Week 2022! Why are we doing this? Why create this awareness…
42,RT @ZJAyres: Can we start a thread please of those of you that either took some time away from your PhD (medical leave or otherwise) or qui…
43,"RT @Broken_Devotion: Talk to your kids about intrusive thoughts. They’re more common than you may realize, and they can be disturbing and s…"
44,"RT @drjanaway: If you could share one piece of advice for protecting your #mentalhealth , what would it be?"
45,RT @jacasiegel: It is difficult to comprehend how serious eating disorders are unless you have experienced one personally or know someone w…
46,RT @jacasiegel: My experience in treatment for anorexia is the driving force behind my research. Many friends from treatment are still in t…
47,"RT @DisabledInPsych: #DIP22TwitterChat Q2. How does ableism impact your work and experiences in psychology, psychiatry, neuroscience, or an…"
48,RT @NeurosciAllgire: Hello fellow disabled academics. I'm trying to gather information about accessibility in graduate school and am wonder…
49,RT @DisabledInPsych: Next up for our #DIP21Recap: Twitter Chats! This thread includes a summary of the live chats hosted during last year's…
50,"A lot of personal statements online are for Ph.D. programs. I think it would be helpful to see ones that are not focused on the research/mentor component. Is there a site with #SchoolPsychology resources for applicants, especially ones looking at the Master's/specialist level?"
51,"Hello! For #SchoolPsychology [Master's/Specialist level] applicants, are there publicly available examples of personal statements? I'm trying to help someone out but it is difficult to find relevant resources. Let me know! @PsychinOut @nasponline #gradschool #AcademicTwitter"
52,"As a previous applicant for #SchoolPsychology programs, I struggled to find relevant resources (ones targeting master's/specialist level application advice for selecting schools, building up strong applications, interviewing, etc). If you know of helpful resources, please share!"
53,@DisabledInPsych No worries!
54,"I've received a few messages about the application process for master's/specialist level #SchoolPsychology programs.

Would it be helpful to piece together some advice and write it up as a blog post?

Let me know! #gradschool #psychtwitter #schoolpsych https://t.co/629PzEXEuK"
55,"@DisabledInPsych Oh, I'm not a Ph.D. student! I'm a MA/SSP student (master's/specialist level program)."
56,RT @margaret_crane1: @julie_cristello @AcademicChatter @PsychChatter @DisabledInPsych @BlackinPsych @PsychinOut @JSchleiderPhD and @CraigAn…
57,"RT @DisabledInPsych: If you're interested in joining #DisabledInPsych, please send us a message or fill out the Google form here [link]: ht…"
58,Either Twitter has picked up on the fact that I am in a #SchoolPsychology program or there are just a TON of people talking about IEPs today... 🤷‍♀️ https://t.co/EGngUpvC9m
59,@TherealmsZ Thank you! 😊
60,RT @DisabledInPsych: We are excited to announce the schedule for the 2022 #DisabledInPsychWeek Primer - a virtual pre-event to co-create th…
61,@markwwilsonmd Thank you so much!
62,Best birthday weekend weather 💙 https://t.co/YyR0Pwjrbk
63,"RT @PonziniG: I'm on the #postdoc search! Looking for research-focused positions that begin in late summer/fall 2023. 

My research program…"
64,RT @sasha_zabelski: I’m happy to chat with anyone that is considering the switch from psych➡️public health or is just interested in PH prog…
65,@RVillareal12 Thanks for sharing! I saw that one NC district had 15k listed and another had a little bit more than that... I heard some places have something more like a teacher's first-year salary. There must be quite some range!
66,@SchoolPsychSam @kanecarlock That's unfortunate. Thanks for sharing that info!
67,"I'm very curious to know what #SchoolPsychology #internship salaries are like in different regions and states.

Do you have a stipend?
Salary?
No pay? 😬

I'd love to hear from you!"
68,"RT @PsychinOut: Help us reach 5K followers? It’s that time of year for diverse, non traditional, underrepresent  #psychology #phd applicant…"
69,"RT @DisabledInPsych: We’re excited for the second annual #DisabledInPsychWeek - a virtual event focused on dismantling ableism in psych, ne…"
70,"Why am I totally fixated on the psychiatry aspect of this scenario for my psychotherapeutic interventions class? Tricyclic antidepressants as their first treatment approach for a 15-year-old with depression?

Not me checking UpToDate... 😂 https://t.co/snRkNE5hBH"
71,RT @CheriLev: I WILL be accepting a grad student for this years application cycle &amp; I finally got w the times &amp; made a FAQ for applicants…
72,"RT @ChaseTMAnderson: Just a reminder that we’re still discovering so much about the spectrum that exists in mental illness - depression, et…"
73,RT @gabrielledrolet: “make sure you allow yourself to recover from burnout ✨” with what time. with what resources
74,"RT @Ryanzoriaa: ⚠️ CALLING ALL NSSI/SUICIDE RESEARCHERS ⚠️

I am interested in organizing a symposium for the #SRS23 conference on the ethi…"
75,"RT @maxemilysm: I remember panicking to my therapist, pre-diagnoses, that I was somehow making all my illness up.

She gently asked if perh…"
76,"""Alexa, play my 'Behavioral Activation' playlist."""
77,"When you type in ""run"" into the search bar while looking up public running playlists... and Spotify attacks you with *very specific* suggestions. 😭

Okay, but the list has Taylor Swift, Billie Eilish, Adele, Olivia Rodrigo, Ed Sheeran, Paramore... I might save it for later... 🤣 https://t.co/E5nvczNGGy"
78,Starting practicum in schools under... not ideal circumstances... 👀 https://t.co/7LrqBB8PgC
79,Time to read up on #activism. ❤ #AliceWong #BookTwitter #advocacy https://t.co/DAp51mTNM7
80,"RT @alisonyarpmd: If these discussions are not part of the medical culture, we will not get anywhere. But we can’t just talk about it. We h…"
81,RT @alisonyarpmd: 9/17 is National Physician Suicide Awareness Day. Physician mental illness &amp; suicide is all too prevalent but brushed und…
82,RT @GHMansfield: Don’t confuse disability with weakness.
83,"RT @pedsmd2b: Paging #psychtwitter!

Are there any resources catered to family members/loved ones who want to learn about supporting someon…"
84,RT @_nessiethegreat: Depression is a huge scam. I barely have energy to complete my basic daily tasks. And you’re telling me that in order…
85,"RT @ralouick: Educator colleagues: this semester, my intro to special education students are particularly interested in learning more about…"
86,"RT @GHMansfield: A request for access by disabled people should never be deemed unreasonable.

Exclusion is unreasonable."
87,RT @ChaseTMAnderson: We deserve a world--and especially a healthcare system--that cares about the mental health of people not only when the…
88,RT @PedsPlntsPepprs: it shouldn’t take resident physician suicide for yall to notice that medical training is problematic.
89,"RT @stephmanasse: 📣I will be reviewing clinical psychology PhD applications this year for Fall 2023!📣

My work is focused on improving trea…"
90,#PirateNation 💜💛💜 https://t.co/Irr2QKI3va
